user,text,date,emotion,sentiment,clean_text,preprocessed_text,nuevosentimiento,adjetivos_positivo,verbos_positivo,sustantivos_positivo,adjetivos_neutro,verbos_neutro,sustantivos_neutro,adjetivos_negativo,verbos_negativo,sustantivos_negativo
@HagovProvincia,"Vivir en ignorancia aporta mas tranquilidad, pero es mejor estar sobrecargado de información y ser pragmatico y coherente con la misma, antes que vivir en una burbuja sin saber lo que acontece a nuestro alrededor.  Un incendio te va a quemar por mas que lo ignores con Vehemencia.","Jan 5, 2024 · 2:29 AM UTC",overwhelmed,scared,Vivir en ignorancia aporta mas tranquilidad pero es mejor estar sobrecargado de informacin y ser pragmatico y coherente con la misma antes que vivir en una burbuja sin saber lo que acontece a nuestro alrededor  Un incendio te va a quemar por mas que lo ignores con Vehemencia,vivir ignorancia aporta tranquilidad mejor sobrecargado informacin pragmatico coherente misma vivir burbuja saber acontece alrededor incendio quemar ignores vehemencia,negativo,0,0,1,0,0,1,0,0,2
@birdie_belen,Qué día más sobrecargado de emoción. No me den más días así que sobrepienso.,"Jan 5, 2024 · 12:45 AM UTC",overwhelmed,scared,Qu da ms sobrecargado de emocin No me den ms das as que sobrepienso,sobrecargado emocin sobrepienso,negativo,0,0,0,0,0,0,0,0,1
@kysiiseung,"ya le dije q me escriba cuando qiera, si no lo quiere hacer yo no le voy a andar rogando, ando sobrecargado de cosas que lo único que puedo hacer es responder de a ratos","Jan 4, 2024 · 4:25 PM UTC",overwhelmed,scared,ya le dije q me escriba cuando qiera si no lo quiere hacer yo no le voy a andar rogando ando sobrecargado de cosas que lo nico que puedo hacer es responder de a ratos,dije escriba qiera quiere hacer andar rogando ando sobrecargado cosas nico puedo hacer responder ratos,negativo,0,1,4,0,1,4,0,1,4
@EruDruida,Hoy si   El chisme anda sobrecargado,"Jan 4, 2024 · 6:35 AM UTC",overwhelmed,scared,Hoy si   El chisme anda sobrecargado,chisme anda sobrecargado,negativo,0,0,0,0,0,0,0,0,1
@vivianavega_,"No hay nada de malo en llorar por un mal día, por estrés sobrecargado de la Universidad o el trabajo, por problemas personales o por el motivo que quieran. Si usted quiere llorar, hágalo donde quiera y a la hora que quiera, libérese de ese peso que solo USTED entiende.","Jan 4, 2024 · 5:45 AM UTC",overwhelmed,scared,No hay nada de malo en llorar por un mal da por estrs sobrecargado de la Universidad o el trabajo por problemas personales o por el motivo que quieran Si usted quiere llorar hgalo donde quiera y a la hora que quiera librese de ese peso que solo USTED entiende,malo llorar estrs sobrecargado universidad trabajo problemas personales motivo quieran usted quiere llorar hgalo quiera hora quiera librese peso solo usted entiende,negativo,0,0,2,0,0,1,0,0,2
@YoouurrMama,"Acaban de soltar la lista de clientes del Pedófilo Epstein y el site está sobrecargado. El mundo entero pendiente a ver los nombres de Pedófilos desgraciados que violaron y traficaron niños. 🤬🐷 Obvio, salió Bill Clinton y Prince Andrew. Asquerosos Cerdos 🐽","Jan 4, 2024 · 12:56 AM UTC",overwhelmed,scared,Acaban de soltar la lista de clientes del Pedfilo Epstein y el site est sobrecargado El mundo entero pendiente a ver los nombres de Pedfilos desgraciados que violaron y traficaron nios  Obvio sali Bill Clinton y Prince Andrew Asquerosos Cerdos ,acaban soltar lista clientes pedfilo epstein site sobrecargado mundo entero pendiente nombres pedfilos desgraciados violaron traficaron nios obvio sali bill clinton prince andrew asquerosos cerdos,negativo,0,0,1,0,0,1,1,0,1
@rafabravo,"Han conseguido lo más dificil, no han arreglado el problema en los centros donde había sobrecarga y han sobrecargado los centros donde no había problemas","Jan 3, 2024 · 10:27 AM UTC",overwhelmed,scared,Han conseguido lo ms dificil no han arreglado el problema en los centros donde haba sobrecarga y han sobrecargado los centros donde no haba problemas,conseguido dificil arreglado problema centros haba sobrecarga sobrecargado centros haba problemas,negativo,0,0,0,0,0,0,0,2,1
@AlexDia44068943,"Eliminado cosas de mi galería me di cuenta de lo quemado que estaba mental, físicamente y en todo sentidos, de lo sobrecargado que estaba en todo momento. Del llanto que se me salía de la nada por qué sentía que ya no podía más.","Jan 2, 2024 · 12:00 PM UTC",overwhelmed,scared,Eliminado cosas de mi galera me di cuenta de lo quemado que estaba mental fsicamente y en todo sentidos de lo sobrecargado que estaba en todo momento Del llanto que se me sala de la nada por qu senta que ya no poda ms,eliminado cosas galera cuenta quemado mental fsicamente sobrecargado momento llanto sala senta poda,negativo,0,0,3,0,0,1,0,0,3
@inmywonyoungism,"ME ESTÁN DICIENDO QUE MI MAQUILLAJE ES MUY SOBRECARGADO, ellos no entienden que nunca es suficiente brillo en los ojos","Dec 31, 2023 · 11:20 PM UTC",overwhelmed,scared,ME ESTN DICIENDO QUE MI MAQUILLAJE ES MUY SOBRECARGADO ellos no entienden que nunca es suficiente brillo en los ojos,estn diciendo maquillaje sobrecargado entienden nunca suficiente brillo ojos,negativo,0,0,1,0,0,1,0,0,2
@lanauwu,"Desbordante y efervescente, pero a qué costo?","Jan 6, 2024 · 2:05 AM UTC",overwhelmed,scared,Desbordante y efervescente pero a qu costo,desbordante efervescente costo,negativo,0,0,0,0,0,0,0,0,1
@Juandelpicapie1,"Llenita de pueblo va a estar la ""cena en el conrad"" de yamandu. Desbordante de humildad.  Oddone seguro va.. Cpa ferrere le paga el costoso ticket Capaz habla de ajuste o mal del plebiscito  A  U$10000 la mesa, para además escuchar al cheto de Vilaro  Realmente, bien de izquierda","Jan 6, 2024 · 1:43 AM UTC",overwhelmed,scared,Llenita de pueblo va a estar la cena en el conrad de yamandu Desbordante de humildad  Oddone seguro va Cpa ferrere le paga el costoso ticket Capaz habla de ajuste o mal del plebiscito  A  U la mesa para adems escuchar al cheto de Vilaro  Realmente bien de izquierda,llenita pueblo cena conrad yamandu desbordante humildad oddone seguro ferrere paga costoso ticket capaz habla ajuste plebiscito mesa adems escuchar cheto vilaro realmente bien izquierda,negativo,0,0,3,0,0,1,0,0,2
@SeleneSenaa,También me veo cantando a corazón desbordante  todos los temas de Floricienta,"Jan 5, 2024 · 11:30 PM UTC",overwhelmed,scared,Tambin me veo cantando a corazn desbordante  todos los temas de Floricienta,tambin cantando corazn desbordante temas floricienta,negativo,0,0,1,0,0,1,0,0,3
@Cecimoreeno,"Ando en mi romantic era ❤️‍🔥 Alv el dolor, bienvenido el amor desbordante","Jan 5, 2024 · 7:11 PM UTC",overwhelmed,scared,Ando en mi romantic era  Alv el dolor bienvenido el amor desbordante,ando romantic dolor bienvenido amor desbordante,negativo,0,0,1,1,0,1,0,0,2
@irenepfenty,"Viendo la cabalgata con ilusión desbordante desde Oban, costa oeste de Escocia! Irene, Dani y Pelusa 🐶#CabalgataRTVE","Jan 5, 2024 · 6:57 PM UTC",overwhelmed,scared,Viendo la cabalgata con ilusin desbordante desde Oban costa oeste de Escocia Irene Dani y Pelusa CabalgataRTVE,viendo cabalgata ilusin desbordante oban costa oeste escocia irene dani pelusa cabalgatartve,negativo,0,0,1,0,0,0,1,0,0
@AbgVanegas,"La desbordante corrupción, al infiltrarse en la estructura del poder, ha resultado devastadora. La lucha contra este fenómeno ha utilizado tácticas persecutorias propias de sistemas políticos cerrados. Disminuir la corrupción implica revitalizar el sistema constitucional, una tarea que solo puede lograrse mediante innovaciones institucionales. La consulta popular debería ser una oportunidad para avanzar en esta dirección.","Jan 5, 2024 · 5:32 PM UTC",overwhelmed,scared,La desbordante corrupcin al infiltrarse en la estructura del poder ha resultado devastadora La lucha contra este fenmeno ha utilizado tcticas persecutorias propias de sistemas polticos cerrados Disminuir la corrupcin implica revitalizar el sistema constitucional una tarea que solo puede lograrse mediante innovaciones institucionales La consulta popular debera ser una oportunidad para avanzar en esta direccin,desbordante corrupcin infiltrarse estructura poder resultado devastadora lucha fenmeno utilizado tcticas persecutorias propias sistemas polticos cerrados disminuir corrupcin implica revitalizar sistema constitucional tarea solo puede lograrse mediante innovaciones institucionales consulta popular debera oportunidad avanzar direccin,negativo,0,0,2,0,0,1,0,0,3
@stic_1299,"VIERNES 5 DE ENERO: AMADO DIOS, en este nuevo amanecer, elevo mi corazón hacia Ti con gratitud desbordante. Gracias por el regalo de un día más de vida. Amén 🙏🙏🙏","Jan 5, 2024 · 11:59 AM UTC",overwhelmed,scared,VIERNES  DE ENERO AMADO DIOS en este nuevo amanecer elevo mi corazn hacia Ti con gratitud desbordante Gracias por el regalo de un da ms de vida Amn ,viernes enero amado dios nuevo amanecer elevo corazn hacia gratitud desbordante gracias regalo vida,negativo,1,0,5,0,0,3,0,0,4
@Nataliagrs66,"El amor con la persona correcta no se siente como una emoción desbordante que vacila, sino como una sensación de paz y libertad de ser tú misma en compañía del otro.","Jan 4, 2024 · 11:04 PM UTC",overwhelmed,scared,El amor con la persona correcta no se siente como una emocin desbordante que vacila sino como una sensacin de paz y libertad de ser t misma en compaa del otro,amor persona correcta emocin desbordante vacila sino sensacin libertad misma compaa,negativo,0,0,3,0,0,2,0,0,3
@polgrande_,#LPAxFCB   se hablaba de que Lamine no estaba igual de desbordante y valiente en los últimos partidos y por eso Raphinha robó el puesto. pero claramente para estos minutos finales donde te vienes arriba y el partido está a tu favor Lamine Yamal es DECISIVO.  ha hecho el 1-2.,"Jan 4, 2024 · 10:37 PM UTC",overwhelmed,scared,LPAxFCB   se hablaba de que Lamine no estaba igual de desbordante y valiente en los ltimos partidos y por eso Raphinha rob el puesto pero claramente para estos minutos finales donde te vienes arriba y el partido est a tu favor Lamine Yamal es DECISIVO  ha hecho el ,lpaxfcb hablaba lamine igual desbordante valiente ltimos partidos raphinha puesto claramente minutos finale vienes arriba partido favor lamine yamal decisivo hecho,negativo,0,0,1,0,0,0,0,0,1
@QueenSieg,"ㅤ── No entiendo lo que dices, pero debes detenerte. No existe ninguna gemela mía.   De a poco, aquella desbordante energía que cubrió su silueta de oscuridad comienza a desaparecer.","Jan 4, 2024 · 2:26 PM UTC",overwhelmed,scared, No entiendo lo que dices pero debes detenerte No existe ninguna gemela ma   De a poco aquella desbordante energa que cubri su silueta de oscuridad comienza a desaparecer,entiendo dice debes detenerte existe ninguna gemela aquella desbordante energa cubri silueta oscuridad comienza desaparecer,negativo,0,0,0,0,0,1,0,0,1
@pedroacostag,La manera en la que es altamente probable que cuando llegue a Pto me encuentre el apartamento inundado,"Jan 6, 2024 · 12:29 AM UTC",overwhelmed,scared,La manera en la que es altamente probable que cuando llegue a Pto me encuentre el apartamento inundado,manera altamente probable llegue encuentre apartamento inundado,negativo,0,0,0,0,0,0,0,0,1
@Azriel_84,"Bueno, hoy he inundado mi ciudad y buggeado el Spiderman.  Trabajo bien hecho","Jan 5, 2024 · 11:12 PM UTC",overwhelmed,scared,Bueno hoy he inundado mi ciudad y buggeado el Spiderman  Trabajo bien hecho,bueno inundado ciudad buggeado spiderman trabajo bien hecho,negativo,0,0,3,0,0,1,0,0,2
@arrobalacamm_,deje todo el patio inundado y la alfombra impoluta de mugre ajajajaj q malaria,"Jan 5, 2024 · 9:16 PM UTC",overwhelmed,scared,deje todo el patio inundado y la alfombra impoluta de mugre ajajajaj q malaria,deje patio inundado alfombra impoluta mugre ajajajaj malaria,negativo,0,0,0,0,0,0,0,0,1
@cosmi4revolu,Si no hubiera pasado lo que pasó en Guatemala mi tuiter estaría inundado de puro amortz del amor inmenso que tengo por un hermoso ser 🥰,"Jan 5, 2024 · 7:58 PM UTC",overwhelmed,scared,Si no hubiera pasado lo que pas en Guatemala mi tuiter estara inundado de puro amortz del amor inmenso que tengo por un hermoso ser ,pasado guatemala tuiter estara inundado puro amortz amor inmenso hermoso,negativo,0,0,1,0,0,1,0,0,2
@SibiDiminguiz,El CONICET tendria q haber inundado el pais con repelentes,"Jan 5, 2024 · 5:14 PM UTC",overwhelmed,scared,El CONICET tendria q haber inundado el pais con repelentes,conicet tendria haber inundado pais repelentes,negativo,0,0,0,0,0,0,1,1,0
@MafeCas95098087,Juanchaco en Buenaventura Inundado de Basura.. temporada de turismo . Y te recibe un Basurero ❌en el Muelle.. muy mala impresion para el Turista. @FranciaMarquezM @DilianFrancisca @LaFMCali @elpaiscali @MabelLaraNews @ELTIEMPO @sergio_fajardo @MinAmbienteCo @ParquesColombia,"Jan 5, 2024 · 3:00 PM UTC",overwhelmed,scared,Juanchaco en Buenaventura Inundado de Basura temporada de turismo  Y te recibe un Basurero en el Muelle muy mala impresion para el Turista         ,juanchaco buenaventura inundado basura temporada turismo recibe basurero muelle mala impresion turista,negativo,0,0,0,0,0,0,0,0,1
@MafeCas95098087,Juanchaco en Buenaventura Inundado de Basura.. temporada de turismo . Y ye recibe un Basurero ❌en el Muelle.. muy mala impresion para el Turista. @CaracolRadio @GobValle @EnterateCali @Noti90Minutos @MabelLaraNews @ClaraLuzRoldan @BLUPacifico @HotelMaguipi @petrogustavo,"Jan 5, 2024 · 2:57 PM UTC",overwhelmed,scared,Juanchaco en Buenaventura Inundado de Basura temporada de turismo  Y ye recibe un Basurero en el Muelle muy mala impresion para el Turista         ,juanchaco buenaventura inundado basura temporada turismo recibe basurero muelle mala impresion turista,negativo,0,0,0,0,0,0,0,0,1
@mar_inundado,El año no puede empezar peor :),"Jan 5, 2024 · 2:06 PM UTC",overwhelmed,scared,El ao no puede empezar peor ,puede empezar peor,negativo,0,0,1,0,0,0,0,0,1
@LJRC___,36 de diciembre y amanecimos con el apartamento inundado jajajajaja,"Jan 5, 2024 · 1:20 PM UTC",overwhelmed,scared, de diciembre y amanecimos con el apartamento inundado jajajajaja,diciembre amanecimos apartamento inundado jajajajaja,negativo,0,0,0,0,0,0,0,0,1
@BrisaGonzalez69,El patio re inundado quedó 🤦,"Jan 5, 2024 · 12:48 PM UTC",overwhelmed,scared,El patio re inundado qued ,patio inundado qued,negativo,0,0,0,0,0,0,0,0,1
@danleviniel,"Te amo mucho Kim Daniel, si no hubieras aparecido hoy habría colapsado","Jan 6, 2024 · 2:53 AM UTC",overwhelmed,scared,Te amo mucho Kim Daniel si no hubieras aparecido hoy habra colapsado,daniel aparecido habra colapsado,negativo,0,0,0,0,0,0,0,0,1
@iaminfinance,"Situación: Sala de espera de sanatorio cardiovascular.   Familia esperando a hija en operación por ACV.   Tres horas de operación.   Sin obra social, esta chica estaría muerta.   El sistema público está colapsado.   Donde va a parar la gente que no pueda pagar la OS?   Triste.","Jan 6, 2024 · 1:56 AM UTC",overwhelmed,scared,Situacin Sala de espera de sanatorio cardiovascular   Familia esperando a hija en operacin por ACV   Tres horas de operacin   Sin obra social esta chica estara muerta   El sistema pblico est colapsado   Donde va a parar la gente que no pueda pagar la OS   Triste,situacin sala espera sanatorio cardiovascular familia esperando hija operacin tres horas operacin obra social chica estara muerta sistema pblico colapsado parar gente pueda pagar triste,negativo,0,0,1,0,0,1,0,0,2
@Dream_And_Laugh,"3 días sin luz en el HGSJDD, un compañero de EPS secuestrado Y NADIE ESTÁ HABLANDO DE ESO más que el personal de salud, el sistema de salud en Guatemala está colapsado, ojalá el @MPguatemala, la @PDHgt y a @DrGiammattei les interesara al menos un poco la situación :)))","Jan 6, 2024 · 1:16 AM UTC",overwhelmed,scared, das sin luz en el HGSJDD un compaero de EPS secuestrado Y NADIE EST HABLANDO DE ESO ms que el personal de salud el sistema de salud en Guatemala est colapsado ojal el  la  y a  les interesara al menos un poco la situacin ,hgsjdd compaero secuestrado nadie hablando personal salud sistema salud guatemala colapsado ojal interesara menos situacin,negativo,0,0,1,0,0,1,0,0,2
@StefanoUG,Bocagrande colapsado! Tráfico imposible!,"Jan 6, 2024 · 12:53 AM UTC",overwhelmed,scared,Bocagrande colapsado Trfico imposible,bocagrande colapsado trfico imposible,negativo,0,0,0,0,0,0,0,0,1
@Alexand19354770,Colapsado y aburrido de la vida...,"Jan 5, 2024 · 11:50 PM UTC",overwhelmed,scared,Colapsado y aburrido de la vida,colapsado aburrido vida,negativo,0,0,1,0,0,1,0,0,2
@victordan2010,"Felicito ampliamente al imbécil de @LuisBNava por cerrar una arteria crítica de la ciudad Corregidora está colapsado el centro. ¡Gracias, …ndejo!","Jan 5, 2024 · 11:45 PM UTC",overwhelmed,scared,Felicito ampliamente al imbcil de  por cerrar una arteria crtica de la ciudad Corregidora est colapsado el centro Gracias ndejo,felicito ampliamente imbcil cerrar arteria crtica ciudad corregidora colapsado centro gracias ndejo,negativo,0,0,1,0,0,1,0,0,1
@AgustinnCarrizo,Ya estoy colapsado de aguantar cosas.,"Jan 5, 2024 · 10:08 PM UTC",overwhelmed,scared,Ya estoy colapsado de aguantar cosas,colapsado aguantar cosas,negativo,0,0,1,0,0,1,0,0,2
@mlduartee,Terminando primer semana de enero y para variar los #chorrossv colapsado desde la Monseñor.,"Jan 5, 2024 · 9:52 PM UTC",overwhelmed,scared,Terminando primer semana de enero y para variar los chorrossv colapsado desde la Monseor,terminando primer semana enero variar chorrossv colapsado monseor,negativo,0,0,0,0,0,0,0,0,1
@LaliftVillal,"Lo caída que está la página del Movistar que intento entrar a “Mis Compras” para ver la entrada y NO CARGA. No desesperare, se que esta colapsado","Jan 5, 2024 · 9:10 PM UTC",overwhelmed,scared,Lo cada que est la pgina del Movistar que intento entrar a Mis Compras para ver la entrada y NO CARGA No desesperare se que esta colapsado,cada pgina movistar intento entrar compras entrada carga desesperare colapsado,negativo,0,0,1,0,0,0,0,0,1
@bpsilva,Voy con mi hija en vuelo @LATAM_CHI de Antof-Stgo con maleta de cabina y vuelo internacional. Me OBLIGARON a enviar maleta por bodega contra mi voluntad. El aeropuerto internacional está colapsado. Qué pasa si tardo tiempo retirando la maleta y retrasa trámite intern.?!! 😤😤,"Jan 5, 2024 · 8:52 PM UTC",overwhelmed,scared,Voy con mi hija en vuelo  de AntofStgo con maleta de cabina y vuelo internacional Me OBLIGARON a enviar maleta por bodega contra mi voluntad El aeropuerto internacional est colapsado Qu pasa si tardo tiempo retirando la maleta y retrasa trmite intern ,hija vuelo antofstgo maleta cabina vuelo internacional obligaron enviar maleta bodega voluntad aeropuerto internacional colapsado pasa tardo tiempo retirando maleta retrasa trmite intern,negativo,0,0,1,0,0,0,0,0,2
@marceccg,"Y entonces aprendimos que si está desbordado y ni él se aguanta es por dos razones: hambre o sueño. Hoy resultó ser la segunda y ya, hijo dormido a las 8 p. m.  🥳","Jan 6, 2024 · 2:18 AM UTC",overwhelmed,scared,Y entonces aprendimos que si est desbordado y ni l se aguanta es por dos razones hambre o sueo Hoy result ser la segunda y ya hijo dormido a las  p m  ,entonces aprendimos desbordado aguanta razones hambre sueo result segunda hijo dormido,negativo,0,0,0,1,0,0,1,0,0
@_VicMartino,NADA se va a solucionar sin una ley anti fake news. El manejo de la información está absolutamente desbordado.,"Jan 5, 2024 · 9:22 PM UTC",overwhelmed,scared,NADA se va a solucionar sin una ley anti fake news El manejo de la informacin est absolutamente desbordado,solucionar anti fake news manejo informacin absolutamente desbordado,negativo,0,0,0,0,0,0,0,0,1
@GinoMonty,"Yo lo que veo en este presidente es un ego desbordado, un aire de superioridad y bastantante indolencia sobre la tragedia que vive el pais.","Jan 5, 2024 · 9:13 PM UTC",overwhelmed,scared,Yo lo que veo en este presidente es un ego desbordado un aire de superioridad y bastantante indolencia sobre la tragedia que vive el pais,presidente desbordado aire superioridad bastantante indolencia tragedia vive pais,negativo,0,0,0,0,0,0,0,0,1
